Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,
C11,0805,1,100nF 25V,GRM21BR71E104KA01L
C2,0805,1,10u,
C4,CASE-A_3216,1,22uF 10V,CA45-A-10V-22uF-K
C5,CASE-B_3528,1,10uF 25V,CA45-B025K106T
"D1, D7",D_SMA,2,SS24,
"D3, D6",SOD-123FL_L2.8-W1.8-LS3.7-BI,2,SMF3.3CA,C2990493
D8,D_SMB,1,SMAJ26CA,C148226
J1,Conn_01x01_2.54_small,1,LiPo+ (2S-4S),
J2,Conn_01x02_2.54,1,LED,
J3,Conn_01x01_2.54_small,1,LiPo- (2S-4S),
J7,Conn_01x03_2.54_small,1,RC,
L1,IND-SMD_L7.1-W6.6,1,15uH,SMMS0650-150M
R1,0805,1,100R,
R2,0805,1,100k,
R3,0805,1,1k,
R4,2512,1,R300,
TP1,TestPoint_Pad_D1.5mm,1,SWIO,
TP2,TestPoint_Pad_D1.5mm,1,GND,
TP3,TestPoint_Pad_D1.5mm,1,3V3,
U1,SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,AL8862SP-13,C526360
U2,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CH32V003J4M6,C5346354
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,AMS1117-3.3
