Designator,Mid X,Mid Y,Rotation,Layer
C1,119.448041,-87.221818,180.0,top
C11,120.669243,-91.586198,0.0,top
C2,119.448041,-85.221818,180.0,top
C4,119.85,-82.54,0.0,bottom
C5,113.0,-84.14,90.0,bottom
D1,118.0,-73.0,0.0,bottom
D3,112.0,-79.5,90.0,top
D4,120.4,-100.2,270.0,bottom
D5,118.75,-93.74,0.0,bottom
D6,117.4,-96.6,270.0,top
D7,113.0,-91.8,270.0,bottom
J1,111.4,-100.4,270.0,bottom
J2,117.616475,-62.952761,90.0,top
J3,115.4,-100.4,270.0,bottom
J7,114.0,-101.6,90.0,top
L1,117.0,-70.5,90.0,top
R1,115.573041,-87.221818,0.0,top
R2,115.573041,-85.221818,0.0,top
R3,113.1,-96.6,0.0,top
R4,117.0,-77.5,0.0,bottom
U1,117.59,-80.0,0.0,top
U2,121.6,-96.3,270.0,top
U3,119.8,-87.34,0.0,bottom
